,h3id_9,NO_Med,NO2_Med,BC_Med,city,polygon
0,89283081003ffff,7.520000357000001,16.73580584,0.48225745560000005,1,"POLYGON((37.80546170106164 -122.27136954298386, 37.80714353945844 -122.27029450215277, 37.80864987554612 -122.27155355691563, 37.80847434993539 -122.2738876519417, 37.806792511198935 -122.27496262366373, 37.805286198412546 -122.27370356947141))"
1,89283081007ffff,13.872690944999999,18.181685514999998,0.67150658285,1,"POLYGON((37.806792511198935 -122.27496262366373, 37.80847434993539 -122.2738876519417, 37.80998060937506 -122.27514674594163, 37.809805006777346 -122.27748081108408, 37.80812316770679 -122.27855571368819, 37.80661693156775 -122.27729662027042))"
2,8928308100bffff,11.260766835,17.966784715,0.60383647055,1,"POLYGON((37.80731898808136 -122.26796037726164, 37.809000795746904 -122.26688523859083, 37.810507155134516 -122.26814429391334, 37.810331683556356 -122.27047848734968, 37.80864987554612 -122.27155355691563, 37.80714353945844 -122.27029450215277))"
3,8928308100fffff,8.714580742999999,17.40485657,0.49347247875,1,"POLYGON((37.80864987554612 -122.27155355691563, 37.810331683556356 -122.27047848734968, 37.811837966295265 -122.27173758192082, 37.81166241772441 -122.27407174548931, 37.80998060937506 -122.27514674594163, 37.80847434993539 -122.2738876519417))"
4,89283081013ffff,11.1538459,17.959754044999997,0.53491338175,1,"POLYGON((37.802273442858386 -122.27118554012439, 37.803955311632706 -122.27011052802669, 37.80546170106164 -122.27136954298386, 37.805286198412546 -122.27370356947141, 37.803604329298025 -122.27477851246465, 37.802097963172464 -122.27351949807745))"
5,89283081017ffff,8.142857372,14.831073235,0.44659377985000004,1,"POLYGON((37.803604329298025 -122.27477851246465, 37.805286198412546 -122.27370356947141, 37.806792511198935 -122.27496262366373, 37.80661693156775 -122.27729662027042, 37.804935062118574 -122.27837149415038, 37.80342877263491 -122.27711244053955))"
6,8928308101bffff,9.587386037,17.52908796,0.4758283033,1,"POLYGON((37.804130737298884 -122.26777647167681, 37.80581257535044 -122.26670136174546, 37.80731898808136 -122.26796037726164, 37.80714353945844 -122.27029450215277, 37.80546170106164 -122.27136954298386, 37.803955311632706 -122.27011052802669))"
7,89283081023ffff,4.709091042,12.94611485,0.38230682304999997,1,"POLYGON((37.811311189564265 -122.2787399443113, 37.812992998247154 -122.2776650129815, 37.81449912767443 -122.27892418602066, 37.81432342512061 -122.28125828979795, 37.81264161610973 -122.28233315199645, 37.81113550998035 -122.2810739795516))"
8,89283081027ffff,7.647058981,14.63303429,0.5236454717,1,"POLYGON((37.81264161610973 -122.28233315199645, 37.81432342512061 -122.28125828979795, 37.8158294778849 -122.28251750205662, 37.81565369834083 -122.28485157591052, 37.81397188900757 -122.2859263689689, 37.81246585954048 -122.28466715731612))"
9,8928308102bffff,7.000000216,14.42550008,0.400403354,1,"POLYGON((37.81316862380989 -122.27533087929935, 37.8148504017631 -122.27425585011528, 37.81635655448687 -122.27551502373787, 37.81618090596063 -122.27784922596369, 37.81449912767443 -122.27892418602066, 37.812992998247154 -122.2776650129815))"
10,8928308102fffff,5.0925924789999995,14.03600025,0.4458876354,1,"POLYGON((37.81449912767443 -122.27892418602066, 37.81618090596063 -122.27784922596369, 37.81768698202074 -122.27910843881732, 37.817511256498534 -122.28144261113557, 37.8158294778849 -122.28251750205662, 37.81432342512061 -122.28125828979795))"
11,89283081033ffff,4.151078557,11.95949791,0.33324056825000004,1,"POLYGON((37.80812316770679 -122.27855571368819, 37.809805006777346 -122.27748081108408, 37.811311189564265 -122.2787399443113, 37.81113550998035 -122.2810739795516, 37.809453670581284 -122.28214881302902, 37.80794751109435 -122.28088968039549))"
12,89283081037ffff,3.8615385685,12.723834305,0.42907078865,1,"POLYGON((37.809453670581284 -122.28214881302902, 37.81113550998035 -122.2810739795516, 37.81264161610973 -122.28233315199645, 37.81246585954048 -122.28466715731612, 37.81078401981845 -122.28574192165803, 37.80927793698836 -122.28448274981845))"
13,8928308103bffff,6.4364907395,14.14547959,0.43234570164999997,1,"POLYGON((37.80998060937506 -122.27514674594163, 37.81166241772441 -122.27407174548931, 37.81316862380989 -122.27533087929935, 37.812992998247154 -122.2776650129815, 37.811311189564265 -122.2787399443113, 37.809805006777346 -122.27748081108408))"
14,89283081043ffff,12.53058903,16.708072960000003,0.6083424577000001,1,"POLYGON((37.80784507189041 -122.26095774612457, 37.809526848455924 -122.25988244052036, 37.81103330778665 -122.26114145712172, 37.810857967252375 -122.26347577879278, 37.80917619033158 -122.26455101530519, 37.80766975430005 -122.26329199924095))"
15,89283081047ffff,9.720338165000001,17.53937522,0.54777309075,1,"POLYGON((37.80917619033158 -122.26455101530519, 37.810857967252375 -122.26347577879278, 37.81236434993849 -122.26473483466403, 37.812188932405036 -122.26706912650158, 37.810507155134516 -122.26814429391334, 37.809000795746904 -122.26688523859083))"
16,8928308104fffff,9.141552699999998,14.92666347,0.5091433797,1,"POLYGON((37.81103330778665 -122.26114145712172, 37.81271505394917 -122.26006612276589, 37.814221459932455 -122.26132517917488, 37.81404609645576 -122.26365956940457, 37.81236434993849 -122.26473483466403, 37.810857967252375 -122.26347577879278))"
17,89283081053ffff,7.636363703,15.54173653,0.4945024929,1,"POLYGON((37.804656752260286 -122.26077404618236, 37.80633855921976 -122.25969876932831, 37.80784507189041 -122.26095774612457, 37.80766975430005 -122.26329199924095, 37.805987946984764 -122.2643672070078, 37.80448145761538 -122.26310823074805))"
18,89283081057ffff,8.024999735,14.84620667,0.4849282483,1,"POLYGON((37.805987946984764 -122.2643672070078, 37.80766975430005 -122.26329199924095, 37.80917619033158 -122.26455101530519, 37.809000795746904 -122.26688523859083, 37.80731898808136 -122.26796037726164, 37.80581257535044 -122.26670136174546))"
19,89283081063ffff,11.58695676,17.10059948,0.5230185687,1,"POLYGON((37.813695238441795 -122.26832822163297, 37.81537698530822 -122.26725302547874, 37.816883237986666 -122.26851216042148, 37.81670772050259 -122.27084649096015, 37.81502597329256 -122.2719216180003, 37.81351974390992 -122.27066248361851))"
20,89283081067ffff,6.000000052000001,13.83900032,0.41951677090000006,1,"POLYGON((37.81502597329256 -122.2719216180003, 37.81670772050259 -122.27084649096015, 37.81821389652147 -122.2721056651552, 37.8180383020349 -122.27443996582056, 37.81635655448687 -122.27551502373787, 37.8148504017631 -122.27425585011528))"
21,8928308106bffff,6.8049591725,14.585777075,0.3794973252,1,"POLYGON((37.81555242578902 -122.26491866508529, 37.817234141893714 -122.26384337107729, 37.818740417866564 -122.26510250656997, 37.818564954439985 -122.26743693552332, 37.816883237986666 -122.26851216042148, 37.81537698530822 -122.26725302547874))"
22,8928308106fffff,9.238095178,17.948955885,0.61584392135,1,"POLYGON((37.816883237986666 -122.26851216042148, 37.818564954439985 -122.26743693552332, 37.820071153752586 -122.26869611027983, 37.81989561331785 -122.27103050937568, 37.81821389652147 -122.2721056651552, 37.81670772050259 -122.27084649096015))"
23,89283081073ffff,11.075757809999999,16.525045825,0.49280517204999996,1,"POLYGON((37.810507155134516 -122.26814429391334, 37.812188932405036 -122.26706912650158, 37.813695238441795 -122.26832822163297, 37.81351974390992 -122.27066248361851, 37.811837966295265 -122.27173758192082, 37.810331683556356 -122.27047848734968))"
24,89283081077ffff,15.956272049999999,19.66436171,0.5914686437000001,1,"POLYGON((37.811837966295265 -122.27173758192082, 37.81351974390992 -122.27066248361851, 37.81502597329256 -122.2719216180003, 37.8148504017631 -122.27425585011528, 37.81316862380989 -122.27533087929935, 37.81166241772441 -122.27407174548931))"
25,8928308107bffff,8.999999613,14.94699955,0.4794486021,1,"POLYGON((37.81236434993849 -122.26473483466403, 37.81404609645576 -122.26365956940457, 37.81555242578902 -122.26491866508529, 37.81537698530822 -122.26725302547874, 37.813695238441795 -122.26832822163297, 37.812188932405036 -122.26706912650158))"
26,89283081083ffff,25.07923216,25.02523189,0.852058367,1,"POLYGON((37.79722771438807 -122.27441032329897, 37.79890964423168 -122.2733354377588, 37.80041606368889 -122.27459441234339, 37.800240529995364 -122.2769282718905, 37.79855859981605 -122.27800308832657, 37.79705220366566 -122.27674411432224))"
27,89283081087ffff,15.703703685,20.719971909999998,0.71319412715,1,"POLYGON((37.79855859981605 -122.27800308832657, 37.800240529995364 -122.2769282718905, 37.801746872816146 -122.27818728569682, 37.80157126215111 -122.28052111535006, 37.79988933164162 -122.2815958626732, 37.79838301212701 -122.28033684945868))"
28,8928308108bffff,12.63611085,18.598338045,0.49457377915,1,"POLYGON((37.79908510095289 -122.27100154833632, 37.8007670000957 -122.26992656497052, 37.802273442858386 -122.27118554012439, 37.802097963172464 -122.27351949807745, 37.80041606368889 -122.27459441234339, 37.79890964423168 -122.2733354377588))"
29,8928308108fffff,6.857142562000001,14.84751934,0.4422101001,1,"POLYGON((37.80041606368889 -122.27459441234339, 37.802097963172464 -122.27351949807745, 37.803604329298025 -122.27477851246465, 37.80342877263491 -122.27711244053955, 37.801746872816146 -122.27818728569682, 37.800240529995364 -122.2769282718905))"
30,89283081093ffff,7.080460106,14.55200005,0.5053434074,1,"POLYGON((37.79403928141214 -122.27422624533038, 37.79572124160672 -122.2731513885145, 37.79722771438807 -122.27441032329897, 37.79705220366566 -122.27674411432224, 37.79537024313479 -122.27781890203859, 37.793863793662354 -122.2765599678338))"
31,89283081097ffff,6.093749863999999,12.70729469,0.4084989858,1,"POLYGON((37.79537024313479 -122.27781890203859, 37.79705220366566 -122.27674411432224, 37.79855859981605 -122.27800308832657, 37.79838301212701 -122.28033684945868, 37.79670105126543 -122.28141156806676, 37.7951946784233 -122.28015259465361))"
32,8928308109bffff,23.39668777,24.62467741,0.8986142576,1,"POLYGON((37.79589667536172 -122.27081756761862, 37.79757860486401 -122.26974261298321, 37.79908510095289 -122.27100154833632, 37.79890964423168 -122.2733354377588, 37.79722771438807 -122.27441032329897, 37.79572124160672 -122.2731513885145))"
33,892830810a3ffff,8.272727527999999,13.76537958,0.4885670344,1,"POLYGON((37.80307752833069 -122.2817801683684, 37.80475942847907 -122.28070539232864, 37.80626564131609 -122.28196448515337, 37.80608993070101 -122.28429835341647, 37.80440803022858 -122.28537306032993, 37.802901840694986 -122.28411396810921))"
34,892830810a7ffff,7.000000216,13.3133657,0.5252481782,1,"POLYGON((37.80440803022858 -122.28537306032993, 37.80608993070101 -122.28429835341647, 37.80759606688661 -122.2855574854454, 37.807420279296764 -122.28789132377483, 37.80573837850586 -122.28896596155316, 37.80423226562299 -122.2877068301398))"
